i,x,y,yaw
75,7.384540873252172,-0.987359939391274,-0.383549914742999
76,7.477275078336012,-1.024781419953490,-0.392479082914012
77,7.569671448340314,-1.063029437026642,-0.401469681482194
78,7.661720216195658,-1.102106595780996,-0.410520183678557
79,7.753411551063365,-1.142015230312610,-0.419629062284342
80,7.844735564185535,-1.182757402901487,-0.428794789637209
81,7.935682314826879,-1.224334903400930,-0.438015837637848
82,8.026241816303141,-1.266749248761562,-0.447290677756979
83,8.116404042090778,-1.310001682693300,-0.456617781042751
84,8.206158932012510,-1.354093175468414,-0.465995618128515
85,8.295496398493251,-1.399024423868637,-0.475422659240973
86,8.384406332880848,-1.444795851279120,-0.484897374208674
87,8.472878611826001,-1.491407607931825,-0.494418232470870
88,8.560903103715642,-1.538859571300799,-0.503983703086702
89,8.648469675154015,-1.587151346651559,-0.513592254744715
90,8.735568197485627,-1.636282267746626,-0.523242355772688
91,8.822188553354193,-1.686251397709063,-0.532932474147770
92,8.908320643291660,-1.737057530045664,-0.542661077506914
93,8.993954392331345,-1.788699189831231,-0.552426633157587
94,9.079079756639224,-1.841174635055173,-0.562227608088763
95,9.163686730157334,-1.894481858131467,-0.572062468982171
96,9.247765351253294,-1.948618587572778,-0.581929682223797
97,9.331305709369898,-2.003582289829355,-0.591827713915632
98,9.414297951668747,-2.059370171293068,-0.601755029887641
99,9.496732289661910,-2.115979180466776,-0.611710095709959
100,9.578599005825593,-2.173406010298963,-0.621691376705297
101,9.659888460189832,-2.231647100683367,-0.631697337961533
102,9.740591096898250,-2.290698641123132,-0.641726444344508
103,9.820697450731961,-2.350556573558760,-0.651777160510982
104,9.900198153591754,-2.411216595358944,-0.661847950921768
105,9.979083940932723,-2.472674162473136,-0.671937279855011
106,10.057345658145589,-2.534924492744496,-0.682043611419612
107,10.134974266879038,-2.597962569381630,-0.692165409568793
108,10.211960851297436,-2.661783144587349,-0.702301138113770
109,10.288296624268419,-2.726380743342429,-0.712449260737548
110,10.363972933474903,-2.791749667342176,-0.722608241008805
111,10.438981267446179,-2.857883999083364,-0.732776542395878
112,10.513313261502878,-2.924777606098944,-0.742952628280813
113,10.586960703610671,-2.992424145337691,-0.753134961973493
114,10.659915540137721,-3.060817067685778,-0.763322006725812
115,10.732169881511020,-3.129949622627071,-0.773512225745900
116,10.803716007766875,-3.199814863038746,-0.783704082212381
117,10.874546373990961,-3.270405650118660,-0.793896039288652
118,10.944653615643496,-3.341714658440702,-0.804086560137173
119,11.014030553765249,-3.413734381134215,-0.814274107933761
120,11.082670200060262,-3.486457135183381,-0.824457145881873
121,11.150565761851325,-3.559875066842315,-0.834634137226863
122,11.217710646904411,-3.633980157161455,-0.844803545270211
123,11.284098468118462,-3.708764227620687,-0.854963833383712
124,11.349723048077102,-3.784218945864492,-0.865113465023602
125,11.414578423459034,-3.860335831534287,-0.875250903744627
126,11.478658849304058,-3.937106262192976,-0.885374613214029
127,11.541958803131870,-4.014521479336615,-0.895483057225450
128,11.604472988910981,-4.092572594488000,-0.905574699712738
